name,account,gang
Thomas Williamson,@ABQTom@sauropods.win,"paleontology, biostratigraphy, paleobiology, stratigraphy, geoscience education"
Ambarish Karmalkar,@akarma@fediscience.org,"climate change, climate modeling"
Alain Plattner,@AlainPlattner@social.linux.pizza,"Geophysics, planetary science"
Dr Alan R.T. Spencer,@AlanRTSpencer@ecoevo.social,"Palaeontology, Evolution, Paleobotany, Sedimentology, Taphonomy"
Alaska Uma,@alaskauma@ohai.social,Alaska and Arctic Climate Variability and Change
Steve,@Alchemist_Final@ioc.exchange,"Karst, Earthquakes, and Atmospheric Interactions"
Adam Yates,@alcootatooter@sauropods.win,Palaeontology
Aleta,@aletamosquito@mastodon.lol,"Geochemistry, geoarchaeology, mineralogy, petrology, volcanoes, soapstone"
Chris Rowan,@allochthonous@mastodon.social,"plate tectonics, earthquakes, paleomagnetism, deep time"
Transverse Ranges,@Altadena_Prepare@scicomm.xyz,All areas
Anamitra Saha,@anamitra@fediscience.org,Climate. Hydrology
Andy Baker,@andbaker@aus.social,"Groundwater, caves and karst, geochemistry, paleoclimate"
Anke Hildebrandt,@ankehildebrandt@social.anoxinon.de,"Ecohydrology, soil water patterns, droughts, plant water stress"
Anna,@Annabirdian@mstdn.party,"Fieldwork, geochronology, geochemistry, tectonics, quaternary, climate, metamorphism"
Anne Jefferson,@annejefferson@mastodon.online,"hydrology, geomorphology"
AnthropoceneMan,@Anthro@universeodon,Interests: Earth + all above and below
Alan,@apbliv@mastodon.world,"Microstructure, sulphide minerals."
Araceli Coque,@Ara@masto.es,"sedimentology, stratigraphy, paleontology, earthquakes,"
Ashar Aslam,@Ashar_A_Aslam@scicomm.xyz,"Tropical meteorology, climate, atmospheric science"
Michelle Stern,@Asternmichelle@fediscience.org,"Hydrology, geology, geography, climate change"
Allegra LeGrande,@Atthenius@fediscience.org,Climate Change; Paleoclimate; Climate models; Atmospheric Rivers; Ice sheets; Volcanic Impacts on Climate and Society; Water Isotopes; Water Provenance; Perturbed Physics Ensembles;
Denis AUDO,@audodenis@scholar.social,"invertebrate palaeontology, fossil arthropods"
Marion Anderson,@avimort@mastodon.social,"Palaeontology, Planetary Geology, geoscience education"
John,@BashStKid@mastodon.online,"Pretty much everything, even petrology"
Brendan Byrne,@bbyrne@techhub.social,"Carbon cycle, data assimilation, remote sensing"
Jim Brobeck,@BellTreeJim@mapstodon.space,aquifers
BendDirt,@benddirt@shakedown.social,"EQs, Volcanism, Western North Ameica"
ben,@benjaminbuse@scicomm.xyz,Electron microprobe analysis & SEM
Andy Newman,@Bent_Earth@mstdn.social,"Earthquakes, Volcansism, Tsunami generation, Ground Deformation, Strong Shaking"
Bernd Andeweg ,@berndandeweg@mastodon.nl,"Tectonics, structural geology, field studies, Iberia"
Ben Laabs,@berylliumben@mastodon.world,"Quaternary, glaciers, geochronology, paleoclimate, GIS"
Joyce McBeth,@biogeomicroblog@sciencemastodon.com,"Geomicrobiology, geochemistry, glaciology"
Susie Leopold,@BlastyLavagrrrl@mastodon.social,"Geology, planetary geology, mineralogy, volcanology"
Bob Kopp,@bobkopp@fediscience.org,"Past and future sea level change, climate change"
Brenhin Keller,@brenhinkeller@fosstodon.org,Geochronology | Petrology | Earth History
Brock Edwards,@brockedwards@mstdn.party,"Geochemistry, volcanology"
VMHarris (Victoria),@BryhtSky@projectmushroom.social,"Dendrochronology, paleoclimatology, history"
Katy Burrows,@burrows_geo@mapstodon.space,"Remote sensing, landslides, geomorphology"
Samuele Papeschi,@CalamitaMan@mastodon.social,"structural geology, metamorphic geology"
Sarah Greene,@carbonatefan@spore.social,"climate change, biogeochemical cycles, Earth system modelling, geochemistry, carbonates"
Carlos Grohmann,@CarlosGrohmann@fosstodon.org,"DEMs, drones, landslides, DL/ML, GIS, FOSS"
Carlos Moffat,@carlosmoffat@fediscience.org,"physical oceanography, ice-ocean interactions"
Celeste Labedz,@celestelabedz@mastodon.social,"Environmental Seismology, Glaciology, Natural Hazards, Equity"
Chris Clark,@ChrisClark@theblower.au,"tectonics, geochronology, metamorphism"
Chris Jones,@chrisd_jones@mas.to,"Climate change, Earth system, carbon cycle, carbon budgets"
Claudio Satriano,@claudiodsf@mas.to,Earthquake Seismology
Cecile Blanchet,@clblanchet@fediscience.org,"Paleoclimates, Quaternary, geochemistry, sediments, diversity, equity"
Cheryl Manning,@clbmanning@mstdn.social,Geoscience Education Research
Celine Heuze,@ClnHz@mstdn.social,"climate, physical oceanography, sea ice"
Craig Messerman,@cmflyer@mstdn.social,"Geology, seismology, YellowstoneÔøΩ"
Colby,@ColbyDigsSoil@universeodon.com,"Soil Science , HydropedologyÔøΩ"
Rebecca Colquhoun,@Colquhoun@mstdn.social,"Earthquakes, seismology, geophysics"
Rob Lightbown,@crownweather@mstdn.science,Meteorology
David Naylor,@D_Naylor@universeodon.com,"Geology of Southern California; Tectonics; Soils, Hydrology, and Life in the Mojave Desert"
Daniele Drago,@dani1967@mastodon.uno,"landslides, groundmotion, gis, structural geology"
Danny Joe,@dannyjoe@masto.ai,Exploration
Dargan M. W. Frierson,@darganf@climatejustice.social,"climate science, hydrologic cycle, climate justice"
David Litwin,@davidglitwin@universeodon.com,"Hydrology, surface processes, landscape evolution"
Heidi Daxberger,@daxerl@mastodon.online,"structural geology, petrology, teaching"
Jason Day,@dayjn@mastodon.social,"Geoanalysis, Geochemistry, ICP-MS, Laser ablation"
Daniele de Rigo,@dderigo@hostux.social,"transdisciplinary modelling for environment; vegetation disturbances; forest, soil, water resources; climate change; uncertainty & robustness"
Matt King,@DeformedEarth@mas.to,"Geodesy, solid Earth deformation, ice sheets, sea-level change"
Deinonychus,@deinonychus@mastodon.lol,"GIS, Mineralogy, Paleontology"
Andy Ridgwell,@derp_code@meow.social,"Climate change, global carbon and biogeochemical cycling, evolution & extinction, Earth system modelling"
Diego González,@dgonzalez_geo@fediscience.org,"Petrology, goechemistry, volcanology"
Dietmar Muller,@dietmardownunder@mastodon.au,"plate tectonics, geodynamics, critical minerals, paleoceanography, paleoclimate"
Jerry Harris,@dinogami@sauropods.win,"paleontology, geoscience education"
Sarah Whorley,@dralgaegirl@ecoevo.social,"freshwater, ecology, algae"
Beth O'Shea,@DrBethRocks@fediscience.org,"Aqueous geochemistry, soils, sediment, dust, Geo health,"
Franziska LechleitnerÔøΩ,@DrFranziskaAnna@fediscience,"Paleoclimate, biogeochemistry, carbon cycle, radiocarbon, cavesÔøΩ"
Kylara,@Drkylara@sfba.social,"Geophysics, marine Science, subduction, education"
Doug Curl,@dropstones@c.im,"general geology, GIS and geology, structural geology"
Sadhbh,@DrSadhbh@mastodon.social,"life long learning, geoheritage, mineralogy, igneous petrology"
Stuart Robinson,@drsturobinson@mastodonapp.uk,All sorts but I work in palaeoclimates using sedimentary geochemistry
Wendy Bohon,@drwendyrocks@mastodon.social,Earthquakes
Daniel Woodworth,@dwoodworth@qoto,"Geophysics, plate tectonics, geodynamics, polar wander"
John Cassidy,@Earthquakeguy@mastodon.social,"Earthquakes, hazard and risk, earth structure."
Beth Bartel,@EatTheCrust@climatejustice.social,"Volcanoes, hazards in general, risk reduction, science communication"
Erik Haroldson,@Econgeo@scicomm.xyz,"Ore deposits, fluid inclusions, radiogenic isotopes, geoscience education research"
Rahat,@Ecotrombonegal@mastodon.social,Biogeochemistry
Emily C Wild,@ecwild@universeodon.com,"geosciences librarian and former hydrologist; water quality/quantity, saltwater intrusion, climate, geochemistry, minerals/mining, uranium, plutonium, earthquakes, volcanoes, landslides, history of geology/geological surveys/societies"
Evan Heisman,@eheisman@vis.social,"hydrology, water resources engineering"
Emily Conn,@Emmferno@mastodon.au,"Volcanology, natural hazards, hazard prevention, submarine geology, submarine volcanoes"
Eric Fielding,@EricFielding@mastodon.social,"Earthquakes, landslides, remote sensing, geomorphology"
Elizabeth�,@espetrie@scicomm.xyz,"Structural geology, faults, earthquakes, microstructures"
EGU,@EuroGeosciences@mastodon.social,"Open Access publishing, reserach across all areas of earth, space and planetary science, early career scientist support, networking"
Evert de Froe,@evertfroe@fediscience.org,"Biogeochemistry, deep-sea ecosystems, biological oceanography"
Eviatar Bach,@eviatarbach@fediscience.org¬†,"climate, predictability, data assimilation, and dynamical systems"
Erik Klemetti,@ewklemetti@fediscience.org,Volcanoes
John Faithfull,@FaithfullJohn@mastodon.social,"mineralogy, petrology, geochemistry, history of geology, geoheritage"
Faramarz Nilfouroushan,@farnil@techhub.social,"Satellite geodesy, GNSS, InSAR, Crustal deformation"
Owen Callahan,@faultwater@mstdn.social,"Geothermal, hydrothermal, faults, fractures, alteration, hot springs, earthquakes"
Jon Lewis,@FaultyJon@mstdn.social,tectonics
Kaja,@FennKaja@fediscience.org,"Quaternary, provenance, geochronology, geochemistry, loess"
Ken Fergason,@Fergason@home.social,"engineering geology, solid waste, hazards, Arizona and SW NA geology, Professional Societies"
Ferwen,@Ferwen@mastodon.online,"Paleontology, History of geology, Astrobiology, Geology"
Femke de Jong ,@fmkdejong@fediscience.org,Physical oceanography
Adam Woodhouse,@Foradamifera@mastodon.social,"Paleobiology, geochemistry, ecology, morphology"
Michael Hesemann,@foraminifera@mastodon.social,"Micropaleontology, Foraminifera, Collection Management"
Frans-Jan Parmentier,@fransjan@fediscience.org,"Arctic-boreal carbon cycle, ecohydrology, permafrost thaw"
Gareth Fabbro,@gabbro@toot.wales,Volcanoes
Guillaume Duclaux,@gduclaux@mas.to,"Tectonics, numerical modelling, Precambrian geology, migmatites, mineral systems "
George Swann,@GEASwann@mastodon.world,Palaeoclimatology
John Garver,@geo_garver@mastodon.social,"Tectonics, hydrology, zircon, stratigraphy, themochron"
Devayani Khare,@Geo_Sophist@vmst.io,"Geomorphology, biogeography, landscape evolution"
GeoAccess,@GeoAccess@home.social,"justice, equity, diversity, and inclusion in geosciences."
Don Meltz,@GeoDon@mapstodon.space,"Geography, sustainability, climate change, land use planning"
Joe Kopera,@geojoek@mastodon.social,Bedrock mapping. GIS. Anti-imperialist geological practice.
Elizabeth V (geolizzy),@Geolizzy@mastodon.social,"Ore deposits, mining, fossils, paleoproteomics"
Geologiaymapas,@geologiaymapas@fosstodon.org,"Geology, hazards, geotechnics, GIS, maps, geoinformatics"
Nahum Mendez-Chazarra,@geologoenapuros@mastodon.social,"planetary geology, diy seismology"
James Westland,@geologymull@mastodon.social,"Volcanology, Igneous Petrology, BPIP, NAIP, Scottish geology"
Aaron,@geomicroaaron@fediscience.org,"Geomicrobiology, astrobiology"
David Bailey,@GeoOutreach@mstdn.social,All things earth science / earth science education
Jonathan Price,@Geotechnogeek@qoto.org,"igneous petrology, geochemistry, mineral growth and microstructure"
Gerry Diaz,@geravitywave@sfba.social,meteorology
Graciela Gil-Romera,@gilromera@mastodon.cloud,"Palaeoecology, past global changes, palaeoclimatology."
,@glacial_zephyr@mastodon.green,"Glacial geology, geochronology, paleoclimatology"
Brandon,@GlacierGuy@universeodon,"Paleoclimatology, glaciers and ice sheets"
Kat Sauer,@gneiss_kitty@mastodon.social,structural geology
George Popp,@gpopp@ohai.social,"Tectonics, paleontology"
Gustavo Rodr�guez�,@gsrdzl@mstdn.science,"Geophysics, geological flows, volcanology�"
James Metcalf,@gunglegym@home.social,"Geochronology, thermochronology, and tectonics"
Gernot Wagner,@gwagner@fediscience.org,climate feedback; risk; uncertainty
L Hambrecht,@Hambrecht@fosstodon.org,Forest biodiversity
Jill A. Marshall,@happygeojill@mindly.social,geomorphology and critical zone science - ranging from temperate to frosty lands
Steven Hauck,@hauck@mastodon.social,"planetary science, geophysics, geodynamics, Earth’s deep interior"
Heather Gibson,@hegibson412@mastodon.scot,"Planetary science, meteorites, astrobiology, earth science"
Helen Bostock,@HelenB@aus.social,"Paleoceanography, microfossils, carbon cycle, southern ocean"
Kelly Hereid,@hereidk@fediscience.org,"Climate, earthquake, hurricane, flood, wildfire"
Hester,@hester@mindly.social,"GIS, volcanology"
Heidi Stenner,@hstenner@qoto.org,"geologic hazards, climate change, and related risks; particularly earthquakes, landslides, volcanoes, and tsunamis"
Lejo Flores,@HydroLejo@scicomm.xyz,"Hydrology, regional climate modeling"
Dr Ian Stimpson,@hypocentre@vivaldi.net@mastodon.social,"Earthquakes, geophysics, structural geology, geoconservation"
Stephen Bannister,@iceseismic@mastodon.nz,"Seismology, crustal imaging"
Sharon Hill,@Idoubtit@mstdn.social,"Geologic hazards, anomalies, social aspects, geomythology"
Ian Plummer,@IMPlumm@sciencemastodon.com,"Paleoclimate, Corals, Speleothems, Carbonate systems, geomorphology"
Solar System School,@imprs_solar@social.mpdl.mpg.de,"planetary science, solar system"
Scott Robeson,@indianaclimate@fediscience.org,"climate, hydrology, spatial analysis"
Mark Ingalls,@ingalls@mstdn.social,"Meteorology (primary), geology (secondary)"
IPGP Planetary Science,@IPGP_Planets@scicomm.xyz,Planetary Science
International Seismological Centre (ISC),@ISC@mastodon.world,"seismology, earthquakes, exotic seismic sources"
Jack Ward,@JackFWard@fediscience.org,Subduction zone geodynamics and carbonate chemistry
Dr Jack Lacey,@JackHLacey@fediscience.org,Isotope Geochemistry
Janine Krippner,@janinekrippner@scicomm.xyz,"Volcanology, hazards, crisis communication"
Jan Verkade,@janverkade@mastodon.nl,"hydrology, hydrometeorology, forecasting"
Ilja Kocken,@japhir@fediscience.org,"palaeoclimate, carbon cycle, modelling"
Jascha Polet,@jascha@mastodon.social,"Earthquakes,geophysics,volcanoes"
Javed Ali,@javedali@fediscience.org,"Hydrology, Climate science, Geography, Water Resources Engineering"
Jatan Buch,@jbuch@fediscience.org,"natural hazards, statistical modeling"
James Witts,@jdwitts@ecoevo.social,"Palaeontology, geochemistry"
Jesper,@jesper@tech.lgbt,meteorology
Jonathan Lilly,@jmlilly@fediscience,"physical oceanography, time series analysis, geophysical fluid dynamics"
Jeff Munroe,@jmunroe@fediscience.org,"Quaternary geology, mountain environments, cryosphere, dust, soils, caves"
Jolyon Ralph,@jolyonralph@mastodon.social,"Mineralogy, petrology, geoinformatics, pretty rocks"
Jonas Preine,@JonasPreine@discuss.systems,"Geophysics, Volcanology"
Jorge Saturno,@jorge@scholar.social,"atmospheric aerosol, atmospheric chemistry"
JQ Jacobs,@jqjacobs@archaeo.social,geodesy
Jemma Stachelek,@jsta@mas.to,"Hydrology, aquatic biogeochemistry"
James Stratford,@jstratford@fediscience.org,"mineral exploration, geochemistry, natural resources, metals, petrology, mineralogy, spectroscopy, microscopy"
Julie Mai,@JulieeeMai@mastodon.social,Hydrology
Julius Garbe,@juliusgarbe@mastodon.social,"ice sheets, sea level rise, tipping points, earth system resilience"
Jussi T Eronen,@Jussi_T_Eronen@mstdn.social,"paleoecology, paleoclimates, paleobiology, climate, physical anthropology/early humans"
Kristof Van Tricht,@K_VanTricht@mapstodon.space,"Remote sensing, climatology, weather, agriculture"
Sarah Kachovich,@Kachovich@scicomm.xyz,Paleoceanography & microfossils
Kelsey Jordahl,@kajord@scicomm.xyz,geophysics / remote sensing
Katrina Gelwick,@KatrinaGelwick@scicomm.xyz,"geomorphology, tectonics, sediments, landsdcape evolution"
Kaustubh (Kau) Thirumalai,@kau@qoto.org,"paleoceanography, climate change, (bio)geochemistry"
Christie Rowe,@keepitrheol@mastodon.social,"earthquakes, structural geology, field work, open access"
Keiko,@keiko_geo@fediscience.org,Remote sensing
Karen Kohfeld ,@Kek@mstdn.ca,"Paleoceanography, carbon cycle, paleoclimate, blue carbon "
Kelsey Breseman,@kel@toot.cafe,Environmental data justice
Kerry Nikolaisen,@KerrytheNik@mastodon.online,Hydrogeology
Kevin Sweeney,@kjsgeo@mastodon.nz,"Physical geography, geomorphology, earthquakes, volcanoes, meteorology"
Jay Parrish,@kotranc@mastodon.scot,"Geophysics, remote sensing"
Ko van Huissteden,@kovanhuissteden@mastodon.social,"Peatlands, permafrost, Quaternary"
Kate Pedley,@KPedleyGeo@mastodon.nz,"Tectonics, earthquakes, geomorphology, structural geology, volcanology, palaeontology, sedimentology, minerals, geohazards, landslides, geoscience education, fieldwork"
Frederik Kratzert,@kratzert@sigmoid.social,"Hydrology, Floods, Rainfall-Runoff modeling, Machine Learning"
Keith Sircombe,@ksircombe@aus.social,Laboratories | Geochronology | Geochemistry | Geoscience outreach/education | Innovation | Gadgets
Kathe Todd-Brown,@ktoddbrown/@social.coop,"soil, biogeochemistry, carbon cycling, simulations, data, informatics, process models"
Ken Hudnut,@kwh@ohai.social,earthquakes
Kyren Bogolub,@Kyrengogogo@mstdn.science,"Seismology, tectonics, Colorado Geology"
Lauren Haygood,@La_U_Re_N@mstdn.science,"Biogeochemistry, marine geochemistry, oceans, climate"
LastQuake (by EMSC),@lastquake@masto.ai,"Felt earthquakes, seismology, citizen science"
